Заезд|Run
Поправка времени, с|Time Correction, sec
Цвет:|Color:
Исп. имена|Used Names
Линии|Lines
Загрузить данные и расчитать матрицу|Load Data and Calculate Matrix
Канал "Старт"|Start Channel
Наименование|Display Name
Линковать промежуточные вычисления в дерево сигналов|Link intermediate calculations to signal tree
По гистерезису|By Hysteresis
Период выполнения скрипта|Script Execution Period
Настройка графики|Graphics Settings
Порог триггера "Стоп"|Stop Trigger Threshold
Путь|Path
Частота дискретизации:|Sampling Rate:
Ось Y:|Y Axis:
Амплитуда|Amplitude
Вычислить|Calculate
Возвращаемый результат|Return Result
Оценки|Evaluations
Поиск экстремумов|Extremes Search
Отрисовать графики|Plot Charts
Удалить группу|Delete Group
Добавить группу|Add Group
авторасчет|Auto-calc
Свойство|Property
Настройка алгоритма|Algorithm Setup
Применить|Apply
использовать матрицу замера|Use Measurement Matrix
Выбор второго файла, который будет присоединен в конец первого|Select Second File (Join To End)
Логарифм|Logarithm
Картинки отдельно|Separate Images
Расположение графиков|Chart Layout
Добавление данных в базу|Add Data to DB
Стоп, с:|Stop, sec:
Строк|Rows
Используется если галочка Определить сдвиг в каждом замере снята|Used if 'Determine offset in each measurement' is unchecked
Обновить полосу|Update Band
Замер|Measurement
Отображать допуски|Show Tolerances
Структура базы|DB Structure
Положение курсора|Cursor Position
Записывать начальное состояние "1"|Record Initial State '1'
Параметры двигателя|Engine Parameters
Гор. нагр.|Hor. Load
Толщина|Thickness
Нерекурсивный фильтр ФНЧ|Non-recursive LPF
Диапазон графика|Chart Range
Источник:|Source:
Добавить полосу|Add Band
,сек|,sec
Определить сдвиг в каждом замере по имени канала|Determine offset in each measurement by channel name
Автоматические полосы|Automatic Bands
Тип линии|Line Type
Полный масштаб|Full Scale
Писать с разрывами|Write with Gaps
Положительные экстремумы|Positive Extremes
Число точек|Number of points
Удалить тег|Delete Tag
Менять амплитуду|Change Amplitude
Источник|Source
Страницы|Pages
Удалить канал|Delete Channel
Редактор|Editor
Имя канала:|Channel Name:
Усреднять сигнал|Average Signal
Длина сигнала|Signal Duration
Использовать префиксы для поиска сигналов|Use Prefixes for Signal Search
Добавить тег|Add Tag
Каталог замера по умолчанию:|Default Measurement Directory:
Авто|Auto
Выбор границ испытания|Test Limits Selection
Коррекция времени|Time Correction
Список обработок|Processings List
Матрицы|Matrices
Тип триггера|Trigger Type
Параметры расчета|Calculation Parameters
Тип замера|Measurement Type
Дополнительно|Advanced
Конечн. частота F2, Гц|Ending F2, Hz
Смещение секторов:|Sector Offset:
Питание:|Power:
Добавить/ Удалить сигналы|Add/Remove Signals
Назначение:|Destination:
Заместить файл|Overwrite File
Порог|Threshold
Завершить|Finish
Сохранить|Save
Путь к первому файлу|First File Path
Графический объект не создан|Graphics Object Not Created
Тип платы|Board Type
Доли|Fractions
Сохранение упрощенного Mera файла|Save Simplified Mera File
Порог триггера|Trigger Threshold
Добавление триггера|Add Trigger
Экспорт|Export
Отмена|Cancel
Расчет спектра|Spectrum Calculation
Номер срабатывания|Activation Number
Менять замер|Change Measurement
Меандр|Square Wave
Экспорт настроек полос в файл|Export Band Settings to File
Настройка полос|Band Setup
Сигналы|Signals
Максимум|Maximum
Шум|Noise
Невидимая служебная форма для обработки сообщений|Internal Message Handler Form
